t0,V,family,rung,physical_charge,physical_spin_odd,physical_rung_pair
1.0,-0.4,stripe,17,0.9942534087245143,0.3311147069959193,-2.8911682241725014e-12
1.0,-0.4,stripe,18,0.988436832651226,-0.3241033870703466,-1.497348538612103e-11
1.0,-0.4,stripe,19,0.976043129884839,0.30896618951454013,-5.7618509317136235e-12
1.0,-0.4,stripe,20,0.9547737802236527,-0.28168321449316075,9.840922316450232e-12
1.0,-0.4,stripe,21,0.9243474017930324,0.23805520243189218,1.3619465161959032e-11
1.0,-0.4,stripe,22,0.8892976324273061,-0.17567828090050894,2.4363295309826046e-11
1.0,-0.4,stripe,23,0.8596651162928877,0.09603721565404989,2.616889217425387e-11
1.0,-0.4,stripe,24,0.8470210353203109,-0.005550377747432458,2.9449651457781976e-11
1.0,-0.4,stripe,25,0.8570491128553699,-0.08557954488254448,2.6603209045887575e-11
1.0,-0.4,stripe,26,0.8852067326576705,0.16696599926092554,1.912162833645973e-11
1.0,-0.4,stripe,27,0.9202236936620998,-0.23155254118013116,1.6455570012739744e-11
1.0,-0.4,stripe,28,0.9515486214947956,0.2773147875804907,9.585092285228118e-12
1.0,-0.4,stripe,29,0.9739246051639932,-0.30625364761339685,5.524817891473508e-12
1.0,-0.4,stripe,30,0.9871128275372533,0.32237346428710284,3.331626154217572e-12
1.0,-0.4,stripe,31,0.9931414199226027,-0.3296087642927604,4.1940089116921685e-12
1.0,-0.4,stripe,32,0.9937805527026546,0.3303765142128494,4.023697322251579e-12
1.0,-0.4,stripe,33,0.9892598987669619,-0.32496140094036896,5.025354650369595e-12
1.0,-0.4,stripe,34,0.9781257708581714,0.31146009927907037,1.562598176524657e-11
1.0,-0.4,stripe,35,0.9582122666704859,-0.2862018530132687,1.9212585723447576e-11
1.0,-0.4,stripe,36,0.928899819282381,0.2450260705928581,1.7973994495195463e-11
1.0,-0.4,stripe,37,0.8939968163165024,-0.18520535956510956,3.428367540415135e-11
1.0,-0.4,stripe,38,0.862936570852024,0.10762768080777531,3.033551512299265e-11
1.0,-0.4,stripe,39,0.8474897258178966,-0.01808052881407783,4.876768424997387e-11
1.0,-0.4,stripe,40,0.854511697787329,-0.07357558263476721,4.6042288773563844e-11
1.0,-0.4,stripe,41,0.8807831824158261,0.15675154220789628,4.201927654556138e-11
1.0,-0.4,stripe,42,0.9155298869216215,-0.22380965888887244,3.3352000493727484e-11
1.0,-0.4,stripe,43,0.9477592044168298,0.2720961167037227,2.2479256442443694e-11
1.0,-0.4,stripe,44,0.9714809993500635,-0.30323765271667447,1.5041333202070534e-11
1.0,-0.4,stripe,45,0.9860236664656375,0.3212211008741154,9.179241038092296e-12
1.0,-0.4,stripe,46,0.9935108427699546,-0.33033344896489253,5.157792923212651e-12
1.0,-0.4,stripe,47,0.9963105315424678,0.3337536561786336,3.6198070948162696e-12
1.0,-0.4,stripe,48,0.9956748280619385,-0.33295801088605237,2.413712535197273e-12
1.0,-0.4,stripe,49,0.9912975140449332,0.327582655470095,1.8200564995669005e-12
1.0,-0.4,stripe,50,0.9814096178041234,-0.31545770363123393,1.9323153907303925e-12
