lineage,role,rung,charge_even,charge_odd,spin_even,spin_odd,pair_onsite_even,pair_onsite_odd,pair_rung,pair_leg_even,pair_leg_odd,pair_extended_s,pair_d,density,staggered_spin_odd
pairing,chi400_endpoint,38,-0.004682059601580468,3.571894550535165e-09,-1.7460555720456156e-09,2.4425505385059117e-07,-0.0002243500164395394,-5.120828597734973e-09,0.0,0.004408173969940413,1.2659416580556443e-08,0.004408173969940413,0.004408173969940413,0.9313901609956114,1.789629067841525e-06
pairing,chi400_endpoint,39,-0.004689017365230451,3.5625003511410847e-09,1.4436215252724982e-09,-2.3579326587216606e-07,-0.00022424273807650067,-4.869312581468857e-09,0.0,0.004406154051422156,1.1401132975642075e-08,0.004406154051422156,0.004406154051422156,0.9312882035058574,1.7276305073476994e-06
pairing,chi400_endpoint,40,-0.00469996507758059,3.107884047771209e-09,5.030575642682444e-09,2.050692692982803e-07,-0.00022427234869819843,-4.7732210646994405e-09,0.0,0.004406776940948977,1.3902301025658925e-08,0.004406776940948977,0.004406776940948977,0.9311277782132029,1.5025192702106116e-06
pairing,chi400_endpoint,41,-0.0047130699118526935,2.411134400644166e-09,5.6907196489819345e-09,-1.5378140631652076e-07,-0.000224477601668935,-4.68955435377024e-09,0.0,0.004410769506981062,1.0209508504235854e-08,0.004410769506981062,0.004410769506981062,0.9309357429453723,1.1267389169594688e-06
pairing,chi400_endpoint,42,-0.00472477568132652,1.6887903441127616e-09,4.77657846934508e-09,7.612656597526073e-08,-0.0002248559394104742,-4.640376644447926e-09,0.0,0.0044180693019684365,1.4792764544985931e-08,0.0044180693019684365,0.0044180693019684365,0.9307642092556365,5.577707120341113e-07
pairing,chi400_endpoint,43,-0.0047301295601443446,2.740071885533324e-09,1.335259108359646e-09,2.570305913528366e-08,-0.0002253410595998885,-5.311223238258856e-09,0.0,0.004427376443749571,7.062244156228609e-09,0.004427376443749571,0.004427376443749571,0.9306857547302785,-1.8832339816754473e-07
pairing,chi400_endpoint,44,-0.00472374038345558,7.048782723305391e-09,-6.398894487197326e-10,-1.5124550481904891e-07,-0.00022578750671143981,-6.4384592989512974e-09,0.0,0.004435882306984259,1.2849379961953067e-08,0.004435882306984259,0.004435882306984259,0.9307793802757198,-1.1081586543948418e-06
pairing,chi400_endpoint,45,-0.00470138163876908,1.0981514751793459e-08,-1.4269887029828843e-10,2.958363187488284e-07,-0.0002259763836236664,-5.677286372138615e-09,0.0,0.0044393308898093235,6.104528268080153e-09,0.0044393308898093235,0.0044393308898093235,0.9311070202469759,-2.1675591436454145e-06
pairing,chi400_endpoint,46,-0.004662016507429928,9.04993689015976e-09,1.2192425268182927e-09,-4.507092657549984e-07,-0.00022563715776024556,-5.451083222380768e-09,0.0,0.0044326143052852394,1.175980974144758e-08,0.0044326143052852394,0.0044326143052852394,0.9316838679493533,-3.302295655399634e-06
pairing,chi400_endpoint,47,-0.0046098649284384155,7.504400135159572e-09,3.7135707790098005e-10,6.048961223754923e-07,-0.00022451550590478904,-3.6612818738569015e-09,0.0,0.00441095980701001,3.1697348300795125e-09,0.00441095980701001,0.00441095980701001,0.9324480853542801,-4.43200526073495e-06
